--,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,
Monday,Science,Maths,Science,English,Kannada,Hindi,Maths,Science,Science,
Tuesday,Science,Science,Maths,Science,English,Kannada,Hindi,Maths,Science,
Wednesday,Science,Science,Science,Maths,Science,English,Kannada,Hindi,Maths,
Thursday,Maths,Science,Science,Science,Maths,Science,English,Kannada,Hindi,
Friday,Hindi,Maths,Science,Science,Science,Maths,Science,English,Kannada,
Saturday,Kannada,Hindi,Maths,Science,Science,Science,Maths,Science,English,

